product_id,id_web,price,total_sales,post_title,z_score
4628,802,39.6,0,Marcel Windholtz Eau de Vie de Marc de Muscat,0.2555457965985141
4629,2534,52.4,2,Marcel Windholtz Eau de Vie de Fraise,0.7158032004321737
4630,793,62.4,4,Marcel Windholtz Eau de Vie de Coing,1.0753792971772203
4631,791,76.8,0,Marcel Windholtz Eau de Vie de Baie de Houx,1.5931688764900873
4632,2179,50.0,0,Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière,0.6295049372133625
4633,804,52.4,3,Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière,0.7158032004321737
4634,41,41.0,0,Marcel Windholtz Eau de Vie de Marc de Gewurztraminer,0.30588645014282057
4635,798,62.4,0,Marcel Windholtz Eau de Vie de Kirsch d'Alsace Réserve Particulière,1.0753792971772203
4636,2361,50.0,1,Marcel Windholtz Eau de Vie de Framboise d'Alsace,0.6295049372133625
4646,15848,21.5,1,Bernard Baudry Chinon Rouge Le Clos Guillot 2017,0.39528693851002034
4647,16525,28.5,8,Bernard Baudry Chinon Rouge La Croix Boissée 2017,0.14358367078848772
4648,16262,24.3,2,Bernard Baudry Chinon Blanc La Croix Boissée 2018,0.2946056314214073
4649,16261,16.5,1,Bernard Baudry Chinon Blanc 2018,0.5750749868825437
4650,15206,25.3,5,Thierry Germain Saumur Blanc L'Insolite 2018,0.2586480217469026
4651,11849,49.0,0,Thierry Germain Saumur Blanc Terres 2014,0.5935473275388579
4653,13515,36.2,0,Thierry Germain Saumur-Champigny Franc De Pied 2016,0.1332899237051983
4654,13514,33.4,0,Thierry Germain Saumur-Champigny La Marginale 2016,0.03260861661658509
4655,13516,40.2,0,Thierry Germain Saumur-Champigny Les Mémoires 2016,0.27712036240321697
4656,10814,43.0,0,Thierry Germain Saumur-Champigny Outre Terre 2013,0.3778016694918299
4657,11847,43.0,0,Thierry Germain Saumur-Champigny Outre Terre 2014,0.3778016694918299
4658,13517,48.8,0,Thierry Germain Saumur-Champigny Outre Terre 2016,0.5863558056039568
4662,16081,20.8,0,Pierre Martin Sancerre Les Monts Damnés 2018,0.4204572652821736
4664,15402,16.4,0,La Cotelleraie Saint-Nicolas-de-Bourgueil Le Vau Jaumier 2016,0.5786707478499942
4665,15404,14.4,2,Vincent Carême Vouvray Sec 2018,0.6505859671990035
4666,13647,21.0,0,Vincent Carême Vouvray Moelleux 2015,0.4132657433472727
4668,14657,12.3,3,Xavier Frissant Touraine Amboise L'Orée des Frênes 2015,0.7260969475154632
4669,16053,20.2,1,Domaine Pellé Menetou Salon Blanc Le Carroir 2018,0.44203183108687644
4670,15525,17.0,2,Domaine Pellé Menetou Salon Blanc Morogues 2018,0.5570961820452913
4671,15527,21.9,0,Domaine Pellé Menetou Salon Rouge Les Cris 2015,0.3809038946402185
4672,14676,17.8,0,Domaine Pellé Menetou Salon Rouge Morogues 2017,0.5283300943056876
4673,16057,19.8,0,Domaine Pellé Sancerre Rouge La Croix Au Garde 2017,0.45641487495667826
4674,16056,19.0,7,Domaine Pellé Sancerre Blanc La Croix Au Garde 2018,0.485180962696282
4675,13762,10.7,0,Domaine Rotier Gaillac Blanc Sec Renaissance 2015,0.7836291229946707
4676,15280,12.9,0,Domaine Rotier Gaillac Blanc Doux Les Gravels 2016,0.7045223817107605
4677,15282,9.5,1,Domaine Rotier Gaillac Rouge Les Gravels 2016,0.8267782546040763
4678,15281,29.8,0,Domaine Rotier Gaillac Rouge L'Ame 2016,0.09683877821163162
4679,15283,13.2,0,Domaine Rotier Gaillac Rouge Renaissance 2016,0.6937350988084091
4680,15934,6.3,2,Domaine de Joy Côtes de Gascogne Envie de Joy 2018,0.9418426055624912
4681,15933,7.1,12,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,0.9130765178228875
4682,15575,9.1,6,Château Plaisance Fronton Rouge 2017,0.8411612984738781
