product_id,id_web,price,total_sales,post_title,ca_par_bouteille
5612,14915,124.8,0,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,0.0
5613,14855,19.2,6,Albert Boxler Chasselas 2016,115.2
5614,14856,19.2,3,Albert Boxler Crémant d'Alsace Brut 2014,57.6
5615,15923,56.4,0,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",0.0
5616,14845,38.4,2,"Albert Boxler Pinot Noir ""S"" 2016",76.8
5617,14844,27.8,3,Albert Boxler Pinot Gris Réserve 2016,83.4
5618,15921,71.3,0,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",0.0
5619,15922,71.3,0,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",0.0
5628,12366,25.0,0,Parés Baltà Penedès Hisenda Miret 2013,0.0
5629,8365,10.3,0,Parés Baltà Cava Brut Nature,0.0
5630,12365,28.0,1,Parés Baltà Penedès Electio 2013,28.0
5690,14647,44.6,0,Domaine Hauvette IGP Alpilles Dolia 2012,0.0
5693,15812,13.0,11,Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018,143.0
5694,14661,12.7,5,Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016,63.5
5695,16304,6.5,14,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,91.0
5696,15797,17.5,0,Planeta Sicilia Etna Bianco 2018,0.0
5697,16094,29.9,0,Planeta Sicilia Noto Santa Cecilia 2016,0.0
5700,14736,44.5,1,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",44.5
5703,11736,29.4,0,Domaine de l'Ecu Muscadet Taurus 2012,0.0
5704,15036,16.9,0,Domaine de l'Ecu Muscadet Gneiss 2015,0.0
5705,15360,19.8,2,Domaine Huet Vouvray Pétillant Brut 2014,39.6
5706,15674,10.3,0,Domaine des Terres d'Ocre Saint-Pourçain Blanc Instant T 2018,0.0
5707,13557,10.8,10,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,108.0
5709,15035,31.7,0,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,0.0
5711,16121,25.0,5,Albert Mann Riesling Cuvée Albert 2017,125.0
5712,14241,57.6,1,Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015,57.6
5715,14982,13.7,0,François Baur Gewurztraminer Herrenweg de Turckheim 2016,0.0
5722,15026,7.1,19,Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018,134.9
5736,15116,14.9,5,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,74.5
5737,15369,11.0,9,Triennes IGP Méditerranée Rouge Les Auréliens 2016,99.0
5738,15566,14.6,11,Triennes IGP Méditerranée Rouge Saint Auguste 2016,160.6
5739,16003,10.7,1,Triennes IGP Méditerranée Rouge Merlot 2016,10.7
5741,15127,73.3,0,Domaine Clerget Chambolle-Musigny Les Charmes 2015,0.0
5742,15125,42.1,0,Domaine Clerget Chambolle-Musigny 2014,0.0
5743,14323,57.0,0,Domaine Clerget Vosne-Romanée Les Violettes 2015,0.0
5747,15631,24.5,21,Thibaud Boudignon Anjou Blanc 2018,514.5
5753,16147,10.1,4,Château de la Selve Vin de France Petite Selve 2019,40.4
5756,7033,42.2,4,Huile d'Olive Extra Vierge Planeta Selezione Chef 3L,168.8
5760,11258,13.1,2,Huile d'Olive Extra Vierge Planeta 50cl,26.2
5761,13849,19.5,0,Huiles d'Olive Extra Vierge Planeta 3x 10cl,0.0
5764,15818,12.9,12,Parcé Frères Collioure Rouge Petit Gus 2018,154.8
5766,15179,35.6,0,Camille Giroud Auxey-Duresses Blanc 2017,0.0
5767,15185,175.0,0,Camille Giroud Clos de Vougeot 2016,0.0
5768,15183,35.6,1,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,35.6
5769,15254,33.6,0,Camille Giroud Marsannay Rouge Les Longeroies 2016,0.0
5770,15178,34.4,4,Camille Giroud Santenay Blanc 2017,137.6
5771,15184,38.4,0,Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016,0.0
5772,15180,29.7,1,Camille Giroud Santenay Rouge 2016,29.7
5773,15264,32.8,3,Decelle-Villa Auxey-Duresses Blanc 2017,98.4
5777,14338,5.7,0,Maurel Pays d'Oc Cabernet-Sauvignon 2017,0.0
5778,15561,5.8,24,Maurel Pays d'Oc Merlot 2018,139.2
5779,16213,5.8,8,Maurel Pays d'Oc Syrah 2019,46.4
5794,14692,21.7,0,Château Fonréaud Bordeaux Blanc Le Cygne 2016,0.0
5795,13291,23.0,0,Château de Chantegrive Graves Blanc Caroline 2016,0.0
5796,13895,12.5,0,Château Saransot-Dupré Bordeaux Blanc 2016,0.0
5797,15688,17.2,0,Château Saransot-Dupré Listrac-Médoc 2016,0.0
5799,14461,40.2,0,Château Carbonnieux Graves Blanc 2017,0.0
5801,11277,24.0,0,Château Monbrison Margaux Bouquet de Monbrison 2012,0.0
5802,15399,23.8,0,Château Peymartin Saint-Julien 2014,0.0
